Dates,Signal
26/03/2020 00:00,8.665237048
26/03/2020 00:00,8.614451425
26/03/2020 00:00,8.563665802
26/03/2020 00:00,8.512880179
26/03/2020 00:00,8.379232378
26/03/2020 00:00,8.245584576
26/03/2020 00:00,8.111936775
26/03/2020 00:00,7.978288973
26/03/2020 00:00,7.844641171
26/03/2020 00:00,7.71099337
26/03/2020 00:00,7.577345568
26/03/2020 00:00,7.49448339
26/03/2020 00:01,7.411621211
26/03/2020 00:01,7.328759032
26/03/2020 00:01,7.245896854
26/03/2020 00:01,7.163034675
26/03/2020 00:01,7.060314085
26/03/2020 00:01,7.040455673
26/03/2020 00:01,7.02059726
26/03/2020 00:01,7.000738848
26/03/2020 00:01,6.861434398
26/03/2020 00:01,6.722129948
26/03/2020 00:01,6.582825498
26/03/2020 00:01,6.443521047
26/03/2020 00:02,6.304216597
26/03/2020 00:02,6.164912147
26/03/2020 00:02,6.025607696
26/03/2020 00:02,5.886303246
26/03/2020 00:02,5.746998796
26/03/2020 00:02,5.627552758
26/03/2020 00:02,5.508106719
26/03/2020 00:02,5.388660681
26/03/2020 00:02,5.371852589
26/03/2020 00:02,5.474490535
26/03/2020 00:02,5.577128481
26/03/2020 00:02,5.679766427
26/03/2020 00:03,5.774667912
26/03/2020 00:03,5.869569397
26/03/2020 00:03,5.964470882
26/03/2020 00:03,6.059372367
26/03/2020 00:03,6.154273852
26/03/2020 00:03,6.249175337
26/03/2020 00:03,6.344076822
26/03/2020 00:03,6.438978308
26/03/2020 00:03,6.533879793
26/03/2020 00:03,6.526143332
26/03/2020 00:03,6.518406871
26/03/2020 00:03,6.51067041
26/03/2020 00:04,6.559526117
26/03/2020 00:04,6.616118284
26/03/2020 00:04,6.672710452
26/03/2020 00:04,6.729302619
26/03/2020 00:04,6.785894786
26/03/2020 00:04,6.842486953
26/03/2020 00:04,6.899079121
26/03/2020 00:04,6.955671288
26/03/2020 00:04,7.012263455
26/03/2020 00:04,7.068855622
26/03/2020 00:04,7.12544779
26/03/2020 00:04,7.182039957
26/03/2020 00:05,7.329576244
26/03/2020 00:05,7.420520363
26/03/2020 00:05,7.511464483
26/03/2020 00:05,7.40379762
26/03/2020 00:05,7.296130756
26/03/2020 00:05,7.188463893
26/03/2020 00:05,7.08079703
26/03/2020 00:05,6.950076922
26/03/2020 00:05,6.819356814
26/03/2020 00:05,6.688636706
26/03/2020 00:05,6.557916598
26/03/2020 00:05,6.388932769
26/03/2020 00:06,6.21994894
26/03/2020 00:06,5.960020991
26/03/2020 00:06,5.700093042
26/03/2020 00:06,5.440165094
26/03/2020 00:06,5.378848128
26/03/2020 00:06,5.317531162
26/03/2020 00:06,5.256214196
26/03/2020 00:06,5.19489723
26/03/2020 00:06,5.156633509
26/03/2020 00:06,5.118369788
26/03/2020 00:06,5.080106066
26/03/2020 00:06,5.209182161
26/03/2020 00:07,5.376521976
26/03/2020 00:07,5.543861792
26/03/2020 00:07,5.711201608
26/03/2020 00:07,5.681551045
26/03/2020 00:07,5.651900482
26/03/2020 00:07,5.622249919
26/03/2020 00:07,5.592599356
26/03/2020 00:07,5.562948793
26/03/2020 00:07,5.53329823
26/03/2020 00:07,5.503647667
26/03/2020 00:07,5.473997104
26/03/2020 00:07,5.444346541
26/03/2020 00:08,5.247356162
26/03/2020 00:08,5.050365783
26/03/2020 00:08,4.853375405
26/03/2020 00:08,4.857813196
26/03/2020 00:08,5.059241366
26/03/2020 00:08,5.260669536
26/03/2020 00:08,5.462097706
26/03/2020 00:08,5.663525876
26/03/2020 00:08,5.864954046
26/03/2020 00:08,6.066382216
26/03/2020 00:08,6.267810386
26/03/2020 00:08,6.579308971
26/03/2020 00:09,6.890807556
26/03/2020 00:09,7.202306141
26/03/2020 00:09,7.513804726
26/03/2020 00:09,7.988109668
26/03/2020 00:09,8.26098644
26/03/2020 00:09,8.108035599
26/03/2020 00:09,7.955084757
26/03/2020 00:09,7.802133916
26/03/2020 00:09,7.649183075
26/03/2020 00:09,7.496232234
26/03/2020 00:09,7.343281393
26/03/2020 00:09,7.190330552
26/03/2020 00:10,6.927309295
26/03/2020 00:10,6.664288039
26/03/2020 00:10,6.401266783
26/03/2020 00:10,6.138245527
26/03/2020 00:10,5.712417914
26/03/2020 00:10,5.325285352
26/03/2020 00:10,5.363980402
26/03/2020 00:10,5.402675452
26/03/2020 00:10,5.441370502
26/03/2020 00:10,5.559552084
26/03/2020 00:10,5.677733665
26/03/2020 00:10,5.795915247
26/03/2020 00:11,5.914096828
26/03/2020 00:11,6.032278409
26/03/2020 00:11,6.150459991
26/03/2020 00:11,6.268641572
26/03/2020 00:11,6.386823154
26/03/2020 00:11,6.471496517
26/03/2020 00:11,6.51747483
26/03/2020 00:11,6.563453143
26/03/2020 00:11,6.609431456
26/03/2020 00:11,6.65540977
26/03/2020 00:11,6.621901552
26/03/2020 00:11,6.588393334
26/03/2020 00:12,6.554885116
26/03/2020 00:12,6.521376898
26/03/2020 00:12,6.48786868
26/03/2020 00:12,6.454360462
